년도,학기,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,수업시간,수업시간,수업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2016,1,법학부,LAW10004,법학입문,1,주간,교양선택,송인호,3,70,Y,ANH 302,74,"월1,목1","월1,목1","월1,목1",일반과목,N,1,,,,N,,,W18,전공기초
2016,1,법학부,LAW20003,헌법1,1,주간,전공필수,이국운,3,80,Y,ANH 302,87,"화4,금4","화4,금4","화4,금4",일반과목,N,2,,,,N,,,,
2016,1,법학부,LAW20008,민법의 기초,1,주간,전공필수,신은주,3,80,Y,ANH 302,83,"화3,금3","화3,금3","화3,금3",일반과목,N,2,,,,N,,,,
2016,1,법학부,LAW30074,소송법1,1,주간,전공선택,송인호,3,40,Y,ANH 302,25,"월3,목3","월3,목3","월3,목3",일반과목,N,3,,,,N,,,,
2016,1,법학부,LAW40004,기독교법사상,1,주간,전공선택,지승원,3,60,Y,ANH 302,23,"수3,수4","수3,수4","수3,수4",일반과목,N,4,,,,N,,,,
2016,1,법학부,UIL30011,Public International Law,1,주간,전공필수,이희언,3,60,Y,ANH 302,70,"월6,목6","월6,목6","월6,목6",일반과목,Y,3,,,,N,,,,
2016,1,법학부,UIL40015,Korean Law & Legal System,1,주간,전공선택,조혜신,3,40,Y,ANH 302,8,"금5,금6","금5,금6","금5,금6",일반과목,Y,4,,,,N,,,,
2016,1,법학부,UIL40064,Legal Negotiation,1,주간,전공선택,원재천,3,40,Y,ANH 302,17,"화5,화6","화5,화6","화5,화6",일반과목,Y,4,,,,N,,,,
2016,1,기계제어공학부,HMM20017,Digital Logic,1,주간,전공선택,배건웅,3,50,Y,ANH 302,100,"월5,목5","월5,목5","월5,목5",일반과목,Y,3,,,,N,,,,
2016,1,기계제어공학부,HMM20031,열역학,1,주간,전공선택,이재영,3,60,Y,ANH 302,63,"월2,목2","월2,목2","월2,목2",일반과목,N,2,,,,N,,,,
2016,1,기계제어공학부,HMM30012,자동제어,2,주간,전공필수,나원상,3,60,Y,ANH 302,45,"월7,목7","월7,목7","월7,목7",일반과목,N,2,,,,,,,,
2016,1,기계제어공학부,HMM30032,열전달,1,주간,전공선택,이권영,3,60,Y,ANH 302,45,"화2,금2","화2,금2","화2,금2",일반과목,Y,3,,,,N,,,,
2016,1,Global EDISON Academy,GEA40004,창의종합설계 2,1,주간,전공필수,김기홍,3,30,Y,ANH 304,8,"화6,화7","화6,화7","화6,화7",일반과목,Y,4,,,,N,,1,,
2016,1,법학부,LAW30009,헌법소송,1,주간,전공선택,최유경,3,40,Y,ANH 304,9,"금4,금5","금4,금5","금4,금5",일반과목,N,3,,,,N,,1,,
2016,1,법학부,LAW30014,법사회학,1,주간,전공선택,이국운,3,40,Y,ANH 304,17,"화2,금2","화2,금2","화2,금2",일반과목,N,3,,,,N,,,,
2016,1,법학부,LAW30077,사회법,1,주간,전공선택,배준성,3,40,Y,ANH 304,27,"월6,월7","월6,월7","월6,월7",일반과목,N,3,,,,N,,,,
2016,1,법학부,LAW40025,자주적 분쟁해결,1,주간,전공선택,신은주,3,40,Y,ANH 304,15,"수2,수3","수2,수3","수2,수3",일반과목,N,4,,,,N,,,,
2016,1,법학부,LAW50005,법학특론,1,주간,전공선택,전재원,3,20,Y,ANH 304,13,"월4,월5","월4,월5","월4,월5",일반과목,N,4,,,,N,,,,
2016,1,법학부,UIL20013,Legal Research and Writing,1,주간,전공선택,John T.Shin,3,15,Y,ANH 304,13,"월3,목3","월3,목3","월3,목3",일반과목,Y,2,,,,N,,,,
2016,1,법학부,UIL30015,US Contracts,1,주간,전공선택,심수진,3,25,Y,ANH 304,23,"화3,금3","화3,금3","화3,금3",일반과목,Y,3,,,,N,,,,
2016,1,법학부,UIL30016,US Criminal Law and Procedure,1,주간,전공선택,John T.Shin,3,40,Y,ANH 304,20,"월2,목2","월2,목2","월2,목2",일반과목,Y,3,,,,N,,,,
2016,1,법학부,UIL30018,International Economic Law,1,주간,전공선택,최윤정,3,30,Y,ANH 304,13,"월8,목8","월8,목8","월8,목8",일반과목,Y,3,,,,N,,,,
2016,1,법학부,UIL40016,Intellectual Property Law,1,주간,전공선택,송정미,3,40,Y,ANH 304,11,"금6,금7","금6,금7","금6,금7",일반과목,Y,4,,,,N,,,,
2016,1,법학부,LAW30034,행정법,1,주간,전공선택,송인호,3,40,Y,ANH 305,38,"월2,목2","월2,목2","월2,목2",일반과목,N,3,,,,N,,,,
2016,1,법학부,LAW30071,계약법,1,주간,전공선택,신은주,3,40,Y,ANH 305,25,"화5,금5","화5,금5","화5,금5",일반과목,N,3,,,,N,,,,
2016,1,법학부,LAW30072,기업법1,1,주간,전공선택,조혜신,3,40,Y,ANH 305,34,"화3,금3","화3,금3","화3,금3",일반과목,N,3,,,,N,,,,
2016,1,법학부,LAW50004,Capstone Project,1,주간,전공선택,조혜신,3,10,Y,ANH 305,5,"수2,수3","수2,수3","수2,수3",일반과목,N,4,,,,N,,,,
2016,1,법학부,UIL30014,US Constitutional Law,1,주간,전공선택,김정우,3,50,Y,ANH 305,33,"화2,금2","화2,금2","화2,금2",일반과목,Y,3,,,,N,,,,
2016,1,법학부,UIL30017,US Torts,1,주간,전공선택,Charlene Park,3,30,Y,ANH 305,22,"월3,목3","월3,목3","월3,목3",일반과목,Y,3,,,,N,,,,
2016,1,법학부,UIL30051,Survey of American Law,1,주간,교양선택,John T.Shin,3,60,Y,ANH 305,45,"화1,금1","화1,금1","화1,금1",일반과목,Y,3,,,,N,,,W18,전공기초
2016,1,법학부,UIL40075,Justice: Readings in Moral & Political Philosophy,1,주간,전공선택,백은석,3,40,Y,ANH 305,21,"월5,목5","월5,목5","월5,목5",일반과목,Y,4,,,,N,,,,
2016,1,전산전자공학부,ECE30081,신호 및 시스템,1,주간,전공선택,황성수,3,40,Y,ANH 305,48,"월6,목6","월6,목6","월6,목6",일반과목,Y,3,,,,N,,,,
2016,1,기계제어공학부,HMM40043,기계진동학,1,주간,전공선택,이종선,3,60,Y,ANH 305,40,"월1,목1","월1,목1","월1,목1",일반과목,Y,4,,,,N,,,,
2016,1,공간환경시스템공학부,CUE20002,재료역학,1,주간,전공선택,정상모,3,60,Y,ANH 305,40,"월4,목4","월4,목4","월4,목4",일반과목,Y,2,,,,N,,,,
2016,1,Global EDISON Academy,GEA20002,Techno Entrepreneurial Practicum I,1,주간,전공필수,김재효,2,50,Y,ANH 313,30,"목5,목6","목5,목6","목5,목6",일반과목,N,2,,,,N,,,,
2016,1,Global EDISON Academy,GEA20008,Entrepreneurial Vision Development1,1,주간,전공필수,,0,60,Y,ANH 313,29,월1,월1,월1,성적만P/F나감,Y,2,GEA20008,1,C,,,,,
2016,1,Global EDISON Academy,GEA20018,사회적 기업 창업,1,주간,전공선택,유인철,3,40,Y,ANH 313,11,"금6,금7","금6,금7","금6,금7",일반과목,N,2,,,,N,,,,
2016,1,Global EDISON Academy,GEA20051,Introduction to Global Entrepreneurship,1,주간,전공필수,김기홍,3,40,Y,ANH 313,24,"화1,금1","화1,금1","화1,금1",일반과목,Y,2,,,,N,,,,
2016,1,Global EDISON Academy,GEA20055,창업자를 돕는 재무,1,주간,전공선택,김학주,3,40,Y,ANH 313,14,"월3,목3","월3,목3","월3,목3",일반과목,N,2,,,,N,,,,
2016,1,Global EDISON Academy,GEA30011,Entrepreneurial Vision Development3,1,주간,전공필수,,,60,Y,ANH 313,12,월1,월1,월1,성적만P/F나감,Y,3,GEA30011,1,C,,,,,
2016,1,Global EDISON Academy,GEA30012,Entrepreneurial Vision Development4,1,주간,전공필수,최용준외 5명,1,60,Y,ANH 313,15,월1,월1,월1,성적만P/F나감,Y,3,GEA30012,1,D,Y,,,,
2016,1,Global EDISON Academy,GEA30020,마케팅 실무,1,주간,전공선택,강신익,3,25,Y,ANH 313,27,"월5,월6","월5,월6","월5,월6",일반과목,N,3,,,,N,,,,
2016,1,상담심리사회복지학부,CSW20001,상담이론과 실제,1,주간,전공선택,김혜정,3,40,Y,ANH 313,50,"월4,목4","월4,목4","월4,목4",일반과목,Y,2,,,,N,,,,
2016,1,생명과학부,BFT30061,생명과학 미래기술 세미나,1,주간,전공선택,김아람,2,30,Y,ANH 313,15,"화6,화7","화6,화7","화6,화7",일반과목,N,3,,,,N,,,,
2016,1,전산전자공학부,ECE20051,회로이론 1,3,주간,전공선택,박영춘,3,60,Y,ANH 313,53,"화2,금2","화2,금2","화2,금2",일반과목,Y,2,,,,N,,,,
2016,1,전산전자공학부,ECE30030,데이타베이스,1,주간,전공선택,이건,3,40,Y,ANH 313,48,"화5,금5","화5,금5","화5,금5",일반과목,N,3,,,,N,,,,
2016,1,공간환경시스템공학부,CUE20013,지속가능디자인,1,주간,전공선택,안경모외 1명,3,40,Y,ANH 313,30,"화3,금3","화3,금3","화3,금3",일반과목,N,2,,,,N,,,,
2016,1,글로벌리더십학부,GEK10011,창조와 진화,1,주간,교양선택필수,서병선외 4명,2,400,Y,ANH Auditorium,400,"수3,수4","수3,수4","수3,수4",일반과목,N,1,,,,N,,,W08,세계관1
2016,1,글로벌리더십학부,GEK10015,한동인성교육,1,주간,교양필수,신성만외 9명,1,385,Y,ANH Auditorium,403,수2,수2,수2,성적만P/F나감,N,1,,,,N,2016학번 우선수강,,W05,인성1
2016,1,글로벌리더십학부,GEK10041,심리학개론,1,주간,교양선택,신성만,3,150,Y,ANH Auditorium,187,"월3,목3","월3,목3","월3,목3",일반과목,N,1,,,,N,4학년0명/3학년10명/2학년30명/1학년110명,,W18,전공기초
2016,1,글로벌리더십학부,GCS10053,English Communication,1,주간,교양선택필수,Alexander Banks,3,20,Y,GLC 101,20,"화2,금2","화2,금2","화2,금2",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,2,주간,교양선택필수,Alexander Banks,3,20,Y,GLC 101,20,"화4,금4","화4,금4","화4,금4",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,9,주간,교양선택필수,Daniel Esler,3,20,Y,GLC 101,20,"화5,금5","화5,금5","화5,금5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,16,주간,교양선택필수,Martha-Jean MacLeod,3,20,Y,GLC 101,19,"월2,목2","월2,목2","월2,목2",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,17,주간,교양선택필수,Martha-Jean MacLeod,3,20,Y,GLC 101,18,"월3,목3","월3,목3","월3,목3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,7,주간,교양선택필수,Alexander Banks,3,20,Y,GLC 101,20,"월4,목4","월4,목4","월4,목4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,8,주간,교양선택필수,Alexander Banks,3,20,Y,GLC 101,20,"월6,목6","월6,목6","월6,목6",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS30009,EAP-Life Science,1,주간,교양선택필수,Alexander Banks,3,20,Y,GLC 101,20,"화6,금6","화6,금6","화6,금6",일반과목,Y,3,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10050,English Interactions,4,주간,교양선택필수,Megan J. Cawood,3,20,Y,GLC 106,18,"월2,목2","월2,목2","월2,목2",일반과목,Y,1,,,,N,,1,W32,영어1
2016,1,글로벌리더십학부,GCS10050,English Interactions,6,주간,교양선택필수,Megan J. Cawood,3,20,Y,GLC 106,18,"월5,목5","월5,목5","월5,목5",일반과목,Y,1,,,,N,,1,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,7,주간,교양선택필수,Robert MacLeod,3,20,Y,GLC 106,5,"화2,금2","화2,금2","화2,금2",일반과목,Y,1,,,,N,,1,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,8,주간,교양선택필수,Robert MacLeod,3,20,Y,GLC 106,15,"화4,금4","화4,금4","화4,금4",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,9,주간,교양선택필수,Robert MacLeod,3,20,Y,GLC 106,14,"화3,금3","화3,금3","화3,금3",일반과목,Y,1,,,,N,,1,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,10,주간,교양선택필수,Martha-Jean MacLeod,3,20,Y,GLC 106,18,"화5,금5","화5,금5","화5,금5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,11,주간,교양선택필수,Martha-Jean MacLeod,3,20,Y,GLC 106,16,"화6,금6","화6,금6","화6,금6",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,5,주간,교양선택필수,Kurt A. Davidek,3,20,Y,GLC 202,18,"화5,금5","화5,금5","화5,금5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,1,주간,교양선택필수,Mark H. Buzby,3,20,Y,GLC 202,20,"월4,목4","월4,목4","월4,목4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,2,주간,교양선택필수,Mark H. Buzby,3,20,Y,GLC 202,20,"월5,목5","월5,목5","월5,목5",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,3,주간,교양선택필수,GeorgeVanBruggen,3,0,Y,GLC 202,19,"월1,목1","월1,목1","월1,목1",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,4,주간,교양선택필수,GeorgeVanBruggen,3,0,Y,GLC 202,20,"월2,목2","월2,목2","월2,목2",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,9,주간,교양선택필수,Richard M. Hamm,3,0,Y,GLC 202,20,"화1,금1","화1,금1","화1,금1",일반과목,Y,2,,,,N,,,W32,영어1
